required_skills,job_title
"ms sql server, mdm, enterprise architecture",data architect
"javascript, html, css, jquery",software engineer
"java, web services",java developer
"c, c++, java, uml, rtos, soa",software engineer
"java, python, junit",microstrategy architect
"ios , objective, c",ios developer
"production support, .net, sql, lead, iis, t, sql",decision support analyst
"c++, ui",software engineer
"rhel, centos, gxp, sox",systems engineer
vmware,systems administrator
"linux, mysql, sql, php, dns, git, sdlc",database administrator
"siem, antivirus, incident response",business intelligence analyst
"crm, erp, vmware, ms sql server, windows",systems engineer
"agile, automated, automotive, bash, configuration management, development, hudson, java, jenkins, linux, management, perl, python, release, scrum, vmware, windows",network engineer
sme,sql developer
"pl, sql, oltp",sql developer
"quality assurance, java, selenium, soap ui, python, regression, qa",information assurance engineer
"integration, erp, sql server, project management, oracle",integration specialist
"cyber security, cloud",security auditor
"sql, c#",data analyst
"cognos, ibm, sap, business intelligence",information assurance engineer
"ids, ips, system security, cyber security, firewall",security engineer
"java, c++, perl, oracle sql, websphere",gis administrator
mobile,vp software
"aerospace, architecture, configuration management, development, management, networks, security, system architecture",big data jobs
"cobol, development, oracle, quality assurance, sas, supervision",decision support analyst
"open source, mysql, aws",solutions architect
"java, javascript, automation",hadoop developer
"development, excel, http, management, microsoft access, microsoft excel, supervision, supply chain",data analyst
"pmp, agile",implementation manager
"integration, c, tcp, ip, cisco routers, switches, firewalls",business intelligence analyst
"ado, development, http, management, supply chain",gis administrator
"configuration, apex, visualforce, integration, saas, excellent communication",security architect
multi,microstrategy architect
active directory,crm consultant
"ccna, cisco, dns, networks, protocols, routers, security, switches, tcp, ip, vpn, wireless",network jobs
"aws, devops, full stack, web development, amazon web services, mysql, linux, ubuntu, apache, css, jquery, json, saas",devops engineer
"pm, agile, pmp, csm, scrum",scrum master
"apex, sfdc, java, html, css, salesforce",technical jobs
supply chain,software product manager
"c#, c++, wcf, java",software engineer
"business requirements, management, risk management, security",threat analyst
"mcse, systems administration, sys admin",systems administrator
"windows, active directory, linux",systems administrator
"html, css3, responsive design, drupal, github",ux designer
"desktop, servers, office365, active directory, sql, vmware",emr specialist
"linux, embedded, c, c++",security incident response engineer
"c , test",embedded software engineer
".net, asp.net, html5, css3, javascript, soa, c#, mule, websphere, tibco",net developer
exadata,sql dba
tso,mainframe developer
"html, css, xml, json , angularjs",security architect
sap,solution manager
"big data, bi, business intelligence, computer science, hadoop, impala, spark, python, sql, cloud",software engineer
"it, information technology, procurement, project management, pharmaceutical, biotechnology, program management",business intelligence developer
"architect, java, scala, aws, backend",business intelligence developer
windows 7,help desk internship
"pre, verification, validation, uvm, verilog, asic",security incident response engineer
"talend, hbase, hive, sqoop, mapr, pig, spark, splunk",data analyst
"c, software development",data analyst
"tfs, release, powershell, sdlc",release engineer
"agile, analysis, api, architecture, development, dom, git, http, java, javascript, mongodb, source code, specification, sql, uml, version control, xml",software engineer
"http, https, ftp, smtp, ejb, jsp, servlet, jms, jdbc",microstrategy architect
"desktop support, a+, mac, apple, windows, mcse, network+, mcp",network engineer
"edi, as400, as, 400, iseries",epic analyst
"vmware, emc, windows, linux",systems engineer
"agile, analytical",soa engineer
"selenium, agile, qa",microstrategy architect
"analysis, development, management, quality assurance",threat analyst
"ms project, microsoft office",data manager
"ccna, ccnp, palo alto, f5, wan, lan, wireless",network jobs
"agile, java, database, automation, jira, git, bamboo",hadoop developer
"agile, algorithms, roid, api, development, git, ide, java, jenkins, library, mongodb, source code, subversion, windows",software engineer
healthcare,business intelligence manager
"magento, ecommerce, php, healthcare",business intelligence developer
"migration, weblogic",it project coordinator
"agile, analysis, api, architecture, case, crm, data analysis, data architecture, development, foundation, lifecycle, management, project management, qa, quality assurance, scrum, sql, use case, user interface",business analyst
customer service,help desk jobs
automation,big data engineer
"java , javascript",software engineer
"java, json, jdbc, jquery, javascript",sql developer
".net, java",business intelligence developer
"c++, visual studio, sql, unix",software engineer
